Date,OpenPrice,HighPrice,LowPrice,ClosePrice,WAP,Volume,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
17-Nov-14,4180,4225,4149.35,4208.8,4187.167515,49136,6443,205740663,20954,42.64,75.65,28.8
18-Nov-14,4220,4225,4170.2,4176.9,4184.311266,28927,7020,121039572,11358,39.26,54.8,-43.1
19-Nov-14,4182,4196,4141.9,4179.75,4161.052335,30343,6276,126258811,9559,31.5,54.1,-2.25
20-Nov-14,4182,4232.4,4182,4221.7,4209.929442,35021,6238,147435939,11327,32.34,50.4,39.7
21-Nov-14,4201,4201,4127.85,4146.1,4149.79446,54797,10272,227396287,25209,46,73.15,-54.9
24-Nov-14,4200,4280,4186,4273.9,4250.502131,104666,14948,444883056,38097,36.4,94,73.9
25-Nov-14,4297.7,4319.75,4249,4303.15,4289.695749,83694,12702,359021796,27589,32.96,70.75,5.45
26-Nov-14,4305,4311,4275,4297.65,4291.388545,61805,9891,265229269,26894,43.51,36,-7.35
27-Nov-14,4318,4377,4310.95,4366.9,4353.694065,126674,16399,551499842,58470,46.16,66.05,48.9
28-Nov-14,4377,4399,4345,4359.25,4372.572938,132496,14952,579348424,77637,58.6,54,-17.75
1-Dec-14,4388,4401,4292.1,4350.75,4357.183952,239742,12700,1044599995,180829,75.43,108.9,-37.25
2-Dec-14,2165,2165,2116,2127.95,2135.238271,295496,18073,630954368,202660,68.58,49,-37.05
3-Dec-14,2103.8,2131.95,2084.8,2122.6,2108.285913,111205,13345,234451935,46181,41.53,47.15,18.8
4-Dec-14,2125,2144.55,2099,2102.3,2114.345477,98464,8334,208186913,42392,43.05,45.55,-22.7
5-Dec-14,2107.2,2114,2060.05,2069.7,2079.368508,135571,11810,281902068,59128,43.61,53.95,-37.5
8-Dec-14,2012,2017,1958.5,1968.6,1995.019395,2216111,82900,4421184427,512297,23.12,58.5,-43.4
9-Dec-14,1985,1986,1952.55,1964.8,1968.254053,169508,16670,333634808,69108,40.77,33.45,-20.2
10-Dec-14,1965,1984.8,1960.5,1963.7,1965.890291,311042,11630,611474448,41870,13.46,24.3,-1.3
11-Dec-14,1960,1960,1915.95,1920.8,1927.867423,364612,16403,702923597,284674,78.08,44.05,-39.2
12-Dec-14,1932.25,1960,1919,1939.15,1937.408129,175072,14152,339185916,80887,46.2,41,6.9
15-Dec-14,1909.4,1956.45,1906,1924.3,1922.227395,170457,8588,327657115,121481,71.27,50.45,14.9
16-Dec-14,1925,1952,1925,1937.65,1941.752188,158721,12344,308196849,76312,48.08,27,12.65
17-Dec-14,1921,1956,1898,1940.45,1930.22931,203846,12452,393469524,84854,41.63,58,19.45
18-Dec-14,1948.55,1980,1946,1966.3,1964.477049,158751,12953,311862696,75554,47.59,34,17.75
19-Dec-14,1990.2,2007.1,1985.75,2001.9,1996.372138,1151684,11575,2299189849,1090713,94.71,21.35,11.7
22-Dec-14,2002.25,2008.55,1975.15,1997,2003.687065,505013,6815,1011888016,461915,91.47,33.4,-5.25
23-Dec-14,2000,2021,1964.3,1971.1,1991.886004,68336,7938,136117522,19294,28.23,56.7,-28.9
24-Dec-14,1971.7,1985,1917.75,1934.05,1957.323991,147248,9680,288212043,81452,55.32,67.25,-37.65
26-Dec-14,1942,1958.95,1932,1950.35,1946.710038,53838,5763,104806975,12419,23.07,26.95,8.35
29-Dec-14,1952.1,1972,1952.1,1959.8,1960.00253,101980,5696,199881058,68512,67.18,19.9,7.7
30-Dec-14,1965,1974,1957.25,1966.4,1966.026171,44401,4587,87293528,17078,38.46,16.75,1.4
